Stimulus,set,expression,sex,total_rating,female_rating,male_rating
144_y_m_h_a.jpg,a,happy,male,97,100,92
144_y_m_h_b.jpg,b,happy,male,100,100,100
147_y_m_h_a.jpg,a,happy,male,97,100,100
147_y_m_h_b.jpg,b,happy,male,99,100,100
153_y_m_h_a.jpg,a,happy,male,98,91,100
153_y_m_h_b.jpg,b,happy,male,98,100,100
160_y_m_h_a.jpg,a,happy,male,94,100,83
160_y_m_h_b.jpg,b,happy,male,99,100,100
167_y_m_h_a.jpg,a,happy,male,97,100,91
167_y_m_h_b.jpg,b,happy,male,100,100,100
170_y_m_h_a.jpg,a,happy,male,98,100,92
170_y_m_h_b.jpg,b,happy,male,97,100,100
175_y_m_h_a.jpg,a,happy,male,97,100,83
175_y_m_h_b.jpg,b,happy,male,100,100,100
008_y_m_a_a.jpg,a,angry,male,98,100,100
008_y_m_a_b.jpg,b,angry,male,97,100,100
013_y_m_a_a.jpg,a,angry,male,91,100,92
013_y_m_a_b.jpg,b,angry,male,83,100,83
016_y_m_a_a.jpg,a,angry,male,81,100,100
016_y_m_a_b.jpg,b,angry,male,88,100,100
025_y_m_a_a.jpg,a,angry,male,38,36,36
025_y_m_a_b.jpg,b,angry,male,30,22,17
031_y_m_a_a.jpg,a,angry,male,94,85,90
031_y_m_a_b.jpg,b,angry,male,95,100,92
037_y_m_a_a.jpg,a,angry,male,86,100,91
037_y_m_a_b.jpg,b,angry,male,92,100,100
041_y_m_a_a.jpg,a,angry,male,88,100,90
041_y_m_a_b.jpg,b,angry,male,98,100,92
049_y_m_a_a.jpg,a,angry,male,91,92,100
049_y_m_a_b.jpg,b,angry,male,96,100,91
057_y_m_a_a.jpg,a,angry,male,78,73,82
057_y_m_a_b.jpg,b,angry,male,88,100,83
062_y_m_a_a.jpg,a,angry,male,76,92,82
062_y_m_a_b.jpg,b,angry,male,74,91,91
066_y_m_a_a.jpg,a,angry,male,83,92,91
066_y_m_a_b.jpg,b,angry,male,88,100,92
072_y_m_a_a.jpg,a,angry,male,94,100,90
072_y_m_a_b.jpg,b,angry,male,88,100,100
081_y_m_a_a.jpg,a,angry,male,65,83,64
081_y_m_a_b.jpg,b,angry,male,79,90,83
089_y_m_a_a.jpg,a,angry,male,95,100,92
089_y_m_a_b.jpg,b,angry,male,100,100,100
099_y_m_a_a.jpg,a,angry,male,81,83,83
099_y_m_a_b.jpg,b,angry,male,88,70,83
105_y_m_a_a.jpg,a,angry,male,61,50,67
105_y_m_a_b.jpg,b,angry,male,78,50,83
109_y_m_a_a.jpg,a,angry,male,71,62,100
109_y_m_a_b.jpg,b,angry,male,80,90,75
114_y_m_a_a.jpg,a,angry,male,89,100,92
114_y_m_a_b.jpg,b,angry,male,96,100,100
119_y_m_a_a.jpg,a,angry,male,89,100,91
119_y_m_a_b.jpg,b,angry,male,97,100,100
123_y_m_a_a.jpg,a,angry,male,85,91,82
123_y_m_a_b.jpg,b,angry,male,76,89,75
127_y_m_a_a.jpg,a,angry,male,89,100,82
127_y_m_a_b.jpg,b,angry,male,88,100,100
135_y_m_a_a.jpg,a,angry,male,75,82,75
135_y_m_a_b.jpg,b,angry,male,82,78,75
144_y_m_a_a.jpg,a,angry,male,90,83,83
144_y_m_a_b.jpg,b,angry,male,94,100,91
147_y_m_a_a.jpg,a,angry,male,94,100,100
147_y_m_a_b.jpg,b,angry,male,69,89,92
153_y_m_a_a.jpg,a,angry,male,92,100,91
153_y_m_a_b.jpg,b,angry,male,97,100,100
160_y_m_a_a.jpg,a,angry,male,89,100,91
160_y_m_a_b.jpg,b,angry,male,88,90,92
167_y_m_a_a.jpg,a,angry,male,91,92,91
167_y_m_a_b.jpg,b,angry,male,91,80,100
170_y_m_a_a.jpg,a,angry,male,75,100,82
170_y_m_a_b.jpg,b,angry,male,91,90,100
175_y_m_a_a.jpg,a,angry,male,85,100,91
175_y_m_a_b.jpg,b,angry,male,97,100,100
010_y_f_n_a.jpg,a,neutral,female,86,80,100
010_y_f_n_b.jpg,b,neutral,female,90,90,92
020_y_f_n_a.jpg,a,neutral,female,77,73,100
020_y_f_n_b.jpg,b,neutral,female,75,70,83
022_y_f_n_a.jpg,a,neutral,female,94,92,100
